#,English Name,Cost IQD,Chinese Name,Platform,Offline Price IQD,English Support,Cover URL,Store Link,NSUID,Publisher,Languages,Matched Title,Source
1,Kirby and the Forgotten Land + Star-Crossed World – Nintendo Switch 2 Edition,2142.8,星之卡比 探索发现 星耀世界,Nintendo Switch 2,11000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-Edition/Kirby-and-the-Forgotten-Land-Nintendo-Switch-2-Edition-Star-Crossed-World-2787773.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, spanish",Kirby and the Forgotten Land – Nintendo Switch 2 Edition + Star-Crossed World,EU
2,Kirby and the Forgotten Land,1711.6,星之卡比 探索发现,Nintendo Switch,9000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_KirbyAndTheForgottenLand_onlylogo_enGB_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Kirby-and-the-Forgotten-Land-2045110.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, spanish",Kirby and the Forgotten Land,EU
3,Shin chan: Shiro and the Coal Town,1496,蜡笔小新 煤炭镇的小白,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Shin-chan-Shiro-and-the-Coal-Town-2615217.html,,,"english, german, japanese, spanish",Shin chan: Shiro and the Coal Town,EU
4,Fire Emblem: Three Houses,1496,火焰纹章 风花雪月,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_FireEmblemThreeHouses_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Fire-Emblem-Three-Houses-1175482.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",Fire Emblem: Three Houses,EU
5,Pokémon Scarlet + The Hidden Treasure of Area Zero,2142.8,宝可梦 朱 + 零之秘宝,Nintendo Switch,11000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_PokemonScarletViolet_Scarlet_enGB_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Pokemon-Scarlet-2179556.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",Pokémon Scarlet,EU
6,Pokémon Sword / Shield,1927.2,宝可梦 剑盾 [0:10],Nintendo Switch,11000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_PokemonShield_PEGI_enGB_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Pokemon-Shield-1522110.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",Pokémon Shield,EU
7,Plants vs. Zombies: Replanted,1496,植物大战僵尸 重制版,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Plants-vs-Zombies-Replanted-2880240.html,,,"chinese, english, french, german, japanese, portuguese, spanish",Plants vs. Zombies™: Replanted,EU
8,The Legend of Heroes: Trails in the Sky 1st Chapter,2142.8,空之轨迹 1,Nintendo Switch 2,11000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Trails-in-the-Sky-1st-Chapter-2897981.html,,,english,Trails in the Sky 1st Chapter,EU
9,Pokémon Legends: Z-A,1496,宝可梦传说 Z-A,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Pokemon-Legends-Z-A-2533423.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",Pokémon Legends: Z-A,EU
10,REANIMAL,1496,生灵重塑,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/REANIMAL-2994010.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",REANIMAL,EU
11,Princess Peach: Showtime!,1711.6,碧姬公主 表演时刻,Nintendo Switch,6000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Princess-Peach-Showtime--2444445.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, russian, spanish",Princess Peach: Showtime!,EU
12,The King of Fighters '98 Ultimate Match,1496,拳皇98,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/virtual_console_wii_3/PS_WiiVC_KingOfFighters98_image500w.png,https://www.nintendo.com/en-gb/Games/NEOGEO/THE-KING-OF-FIGHTERS-98-760349.html,,,"english, spanish",THE KING OF FIGHTERS '98,EU
13,Ninja Gaiden: Master Collection,1496,忍者龙剑传 大师合集,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_NinjaGaidenMasterCollection_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/NINJA-GAIDEN-Master-Collection-1923647.html,,,"chinese, english, french, german, italian, japanese, spanish",NINJA GAIDEN: Master Collection,EU
14,FINAL FANTASY VII REBIRTH,2142.8,最终幻想7 重生,Nintendo Switch 2,11000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/FINAL-FANTASY-VII-REBIRTH-3016562.html,,,"english, french, german, italian, japanese, portuguese, spanish",FINAL FANTASY VII REBIRTH,EU
15,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,1496,鬼灭之刃 火之神血风谭2,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Demon-Hunter-Chronicles-from-Beyond-2354948.html,,,"english, french, german, italian, japanese, russian",Demon Hunter: Chronicles from Beyond,EU
16,Devil May Cry 3 Special Edition,1711.6,鬼泣3 特别版,Nintendo Switch,9000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_DevilMayCry3SpecialEdition_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Devil-May-Cry-3-Special-Edition-1707906.html,,,"chinese, english, french, german, italian, japanese, spanish",Devil May Cry 3 Special Edition,EU
17,Metroid Prime 4: Beyond,1496,密特罗德 究极4 穿越未知,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Metroid-Prime-4-Beyond-2593922.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, spanish",Metroid Prime 4: Beyond,EU
18,Batman: Arkham Trilogy,1711.6,蝙蝠侠 阿卡姆三部曲,Nintendo Switch,9000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Batman-Arkham-Trilogy-2403114.html,,,"english, french, german, italian, japanese, portuguese, russian, spanish",Batman: Arkham Trilogy,EU
19,STORY OF SEASONS: Grand Bazaar,1496,牧场物语来啦！风之繁华市集,Nintendo Switch 2,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Story-of-Seasons-Grand-Bazaar-2777792.html,,,"chinese, english, french, german, japanese, spanish",Story of Seasons: Grand Bazaar,EU
20,Contra Anniversary Collection,1496,魂斗罗周年合集,Nintendo Switch 2,12000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_ContraAnniversaryCollection_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Contra-Anniversary-Collection-1574969.html,,,"english, japanese",Contra Anniversary Collection,EU
21,"Pokémon: Let's Go, Pikachu!",1711.6,精灵宝可梦 皮卡丘,Nintendo Switch,9000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_PokemonLetsGoPikachu_enGB_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Pokemon-Let-s-Go-Pikachu--1382836.html,,,"chinese, english, french, german, italian, japanese, korean, spanish","Pokémon: Let's Go, Pikachu!",EU
22,Pokémon Legends: Arceus,1496,宝可梦传说 阿尔宙斯,Nintendo Switch,8000,نعم,,https://store.nintendo.com.hk/70010000039948,70010000039948,Nintendo,中文,宝可梦传说 阿尔宙斯,HK
23,WarioWare: Move It!,1496,瓦利奥制造,Nintendo Switch,8000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/WarioWare-Move-It--2403866.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, spanish",WarioWare: Move It!,EU
24,Assassin's Creed: The Ezio Collection,1711.6,刺客信条 艾齐奥合集,Nintendo Switch,9000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_AssassinsCreedTheEzioCollection_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/ASSASSIN-S-CREED-THE-EZIO-COLLECTION-2171132.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, russian, spanish",ASSASSIN’S CREED®: THE EZIO COLLECTION,EU
25,Two Point Hospital: JUMBO EDITION,1496,双点医院,Nintendo Switch,7000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_TwoPointHospital_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Two-Point-Hospital-JUMBO-Edition-1716185.html,,,"chinese, english, french, german, italian, korean, portuguese, russian, spanish",Two Point Hospital: JUMBO Edition,EU
26,Yoshi's Crafted World,2142.8,耀西的手工世界,Nintendo Switch,11000,نعم,,https://store.nintendo.com.hk/70010000018872,70010000018872,Nintendo,中文,耀西的手工世界,HK
27,Digimon Story: Time Stranger,4514.4,数码宝贝物语 时空异客,Nintendo Switch 2,16000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Digimon-Story-Time-Stranger-3016703.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, spanish",Digimon Story Time Stranger,EU
28,The Elder Scrolls IV: Oblivion Remastered – Deluxe Edition,6886,上古卷轴4 湮灭 重制版,Nintendo Switch 2,16000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/The-Elder-Scrolls-IV-Oblivion-Remastered-3131244.html,,,"chinese, english, french, german, italian, japanese, polish, portuguese, spanish",The Elder Scrolls IV: Oblivion Remastered,EU
29,Indiana Jones and the Great Circle,7532.8,夺宝奇兵 古老之圈,Nintendo Switch 2,16000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/Indiana-Jones-and-the-Great-Circle--3016547.html,,,"chinese, english, french, german, italian, japanese, korean, polish, portuguese, russian, spanish",Indiana Jones and the Great Circle™,EU
30,Crash Bandicoot 4: It's About Time,2358.4,古惑狼4,Nintendo Switch,12000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_CrashBandicoot4ItsAboutTime_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Crash-Bandicoot-4-It-s-About-Time-1916806.html,,,"english, french, german, italian, portuguese, russian, spanish",Crash Bandicoot™ 4: It’s About Time,EU
31,EVERSPACE 2: Galactic Edition,5808,永恒空间2 银河版,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/EVERSPACE-2-Galactic-Edition-3172817.html,,,"chinese, english, french, german, italian, japanese, korean, polish, portuguese, russian, spanish",EVERSPACE 2 - Galactic Edition,EU
32,ONE PIECE: PIRATE WARRIORS 4,1496,海贼无双4,Nintendo Switch 2,12000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_OnePiecePirateWarriors4_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/ONE-PIECE-PIRATE-WARRIORS-4-1741287.html,,,"english, french, german, italian, russian, spanish",ONE PIECE: PIRATE WARRIORS 4,EU
33,Shin Megami Tensei V: Vengeance,1496,真女神转生V Vengeance,Nintendo Switch,8000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Shin-Megami-Tensei-V-Vengeance-2523762.html,,,"english, french, german, italian, portuguese, russian, spanish",Shin Megami Tensei V: Vengeance,EU
34,MotoGP 26,2574,世界摩托车锦标赛26,Nintendo Switch 2,8000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/MotoGP-26-3064707.html,,,"chinese, english, french, german, italian, japanese, portuguese, spanish",MotoGP™26,EU
35,Rhythm Heaven Groove,2142.8,节奏天国 奇迹之星,Nintendo Switch 2,7000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_3ds_download_software_1/PS_3DSDS_GrooveHeaven_image500w.png,https://www.nintendo.com/en-gb/Games/Nintendo-3DS-download-software/Groove-Heaven-758486.html,,,"english, french, german, italian, spanish",Groove Heaven,EU
36,Special Strike,2574,特种突击,Nintendo Switch 2,8000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Special-Strike-2840375.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",Special Strike,EU
37,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,1711.6,火影忍者 究极风暴 羁绊,Nintendo Switch,9000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/NARUTO-X-BORUTO-ULTIMATE-NINJA-STORM-CONNECTIONS-2448517.html,,,"english, french, german, italian, russian, spanish",NARUTO X BORUTO ULTIMATE NINJA STORM CONNECTIONS,EU
38,THE KING OF FIGHTERS XIII: GLOBAL MATCH,1496,拳皇13 GM,Nintendo Switch,8000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/THE-KING-OF-FIGHTERS-XIII-GLOBAL-MATCH-Standard-Edition-2485587.html,,,"chinese, english, french, german, italian, japanese, korean, spanish",THE KING OF FIGHTERS XIII GLOBAL MATCH Standard Edition,EU
39,BANG! BANG! BANDITS,1496,砰砰土匪,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/BANG-BANG-BANDITS-3042107.html,,,"chinese, english, japanese, korean",BANG! BANG! BANDITS,EU
40,Devil May Cry 5 Special Edition,1711.6,鬼泣5 恶魔猎人版,Nintendo Switch 2,9000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/Devil-May-Cry-5-Devil-Hunter-Edition-3109582.html,,,"chinese, english, french, german, italian, japanese, korean, polish, portuguese, russian, spanish",Devil May Cry 5 Devil Hunter Edition,EU
41,LEGO Batman: Legacy of the Dark Knight – Deluxe Edition,6886,乐高蝙蝠侠,Nintendo Switch 2,16000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/LEGO-Batman-Legacy-of-the-Dark-Knight-2984554.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, polish, portuguese, russian, spanish",LEGO® Batman™: Legacy of the Dark Knight,EU
42,DARK SOULS REMASTERED,2142.8,黑暗之魂 重制版,Nintendo Switch,11000,نعم,,https://store.nintendo.com.hk/70010000008802,70010000008802,Nintendo,中文,DARK SOULS™: Remastered,HK
43,Village in the Shade,5808,静谧田园,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Village-in-the-Shade-3171056.html,,,"english, french, spanish",Village in the Shade,EU
44,FINAL FANTASY X/X-2 HD Remaster,1496,最终幻想10,Nintendo Switch 2,12000,نعم,,https://store.nintendo.com.hk/70010000016261,70010000016261,BANDAI NAMCO,中文,FINAL FANTASY X/X-2 HD Remaster,HK
45,DRAGON BALL Z: KAKAROT + A NEW POWER AWAKENS SET,1496,七龙珠Z 卡卡罗特,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_DragonBallZKakarotANewPowerAwakensSet_PEGI_image500w.png,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/DRAGON-BALL-Z-KAKAROT-A-NEW-POWER-AWAKENS-SET-1987413.html,,,"english, french, german, italian, portuguese, russian, spanish",DRAGON BALL Z : KAKAROT + A NEW POWER AWAKENS SET,EU
46,LEGO Marvel Super Heroes 2,1927.2,乐高漫威超级英雄2,Nintendo Switch,11000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/wiiu_6/PS_WiiU_LegoMarvelSuperHeroes_PEGI7_image500w.png,https://www.nintendo.com/en-gb/Games/Wii-U-games/LEGO-Marvel-Super-Heroes-826166.html,,,"danish, dutch, english, french, german, italian, spanish",LEGO Marvel Super Heroes,EU
47,Lollipop Chainsaw RePOP,1927.2,电锯甜心 重制版,Nintendo Switch 2,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/LOLLIPOP-CHAINSAW-RePOP-2633256.html,,,"chinese, english, french, german, italian, japanese, portuguese, spanish",LOLLIPOP CHAINSAW RePOP,EU
48,Jotunnslayer: Hordes of Hel – Collector's Edition,2142.8,巨人杀手 暗黑之潮,Nintendo Switch 2,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/Jotunnslayer-Hordes-of-Hel-3139595.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Jotunnslayer: Hordes of Hel,EU
49,Marvel Ultimate Alliance 3: The Black Order,2574,漫威终极联盟3,Nintendo Switch,12000,نعم,,/switch/mua3/,,Nintendo,中文,MARVEL ULTIMATE ALLIANCE 3: The Black Order,HK
50,LEGO Star Wars: The Skywalker Saga,1496,乐高星球大战 天行者传奇,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_LegoStarWarsTheSkywalkerSaga_enGB_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/LEGO-Star-Wars-The-Skywalker-Saga-2157160.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, russian, spanish",LEGO® Star Wars™: The Skywalker Saga,EU
51,Sifu – Standard Edition,1711.6,师父,Nintendo Switch,7000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_Sifu_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Sifu-2264655.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Sifu,EU
52,Mortal Kombat 1,1711.6,真人快打1,Nintendo Switch,9000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Mortal-Kombat-1-2393191.html,,,"chinese, english, french, german, italian, portuguese, russian, spanish",Mortal Kombat 1,EU
53,Sonic X Shadow Generations,1496,索尼克×暗影 世代,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/SONIC-X-SHADOW-GENERATIONS-2622600.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",SONIC X SHADOW GENERATIONS,EU
54,Starsand Island,5808,星砂岛,Nintendo Switch 2,12000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-2-games/Starsand-Island-3173808.html,,,"english, japanese",Starsand Island,EU
55,Fountains,2142.8,永泉传说,Nintendo Switch 2,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/FOUNTAINS-3145896.html,,,"chinese, english, french, german, japanese, portuguese, russian, spanish",FOUNTAINS,EU
56,The Last Faith,1496,最后的信念,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/The-Last-Faith-2479907.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",The Last Faith,EU
57,Idle Immortal – Deluxe Edition,2142.8,无休仙途,Nintendo Switch 2,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Idle-Immortal-3137362.html,,,"chinese, english, japanese",Idle Immortal,EU
58,JoJo's Bizarre Adventure: All-Star Battle R – Digital Ultimate Edition,1496,JOJO的奇妙冒险,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_JojosBizarreAdventureAllStarBattleR_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/JoJo-s-Bizarre-Adventure-All-Star-Battle-R-2224154.html,,,"english, french, german, italian, spanish",JoJo's Bizarre Adventure: All-Star Battle R,EU
59,ASTRAL CHAIN,1496,异界锁链,Nintendo Switch,7000,نعم,,https://store.nintendo.com.hk/70010000022478,70010000022478,Nintendo,中文,异界锁链,HK
